externalId,name,quantity,category,roomId,boxId,barcode,notes,tags,currencyCode,purchasePrice,purchaseDate,warrantyExpiryDate,warrantyProvider,warrantyType,warrantyValue,warrantyRecurringInterval,createdAt,updatedAt
IE481 45,"HUMIDIFIER,PREFILLED,AQUAPAK KIT,VOL 650ML,STER,LTX-FREE",,,2C,P01R07B01,IE481 45,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 79,"SET,IRRIGATION,UROLOGIC,Y-TYPE,L 92IN,LONG CONN,MACROBORE",,,2C,P05R06B05,IE481 79,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 81,"KIT,SUCTION,18FR CATH,WHISTLE TIP,GRN VALVE,A LOOP,LTX-FREE",,,2C,P01R03B05,IE481 81,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 166,"CELLULOSE,OXIDIZED,4 X 8IN,ABSORB,STER",,,2C,P03R01B01,IE481 166,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 178,"RESERVOIR,DRAIN,DRY SUCTION CONTROL DEVICE,2000ML,CHEST,DISP",,,2C,P07R05B01,IE481 178,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 180,"STRAW,DRINKING,PLSTC,L 7 5/8IN,FLEX,INDIVIDUALLY WRAPPED,WHT",,,2C,P07R03B04,IE481 180,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 214,"TAPE,MEDICAL,PLSTC,1IN X 10YD,TRANSPORE,HYPOALLERGENIC,CLR",,,2C,P02R05B07,IE481 214,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 215,"TAPE,MEDICAL,PLSTC,3IN X 10YD,TRANSPORE,HYPOALLERGENIC,CLR",,,2C,P02R05B06,IE481 215,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 222,"SPIROMETER,INCENTIVE,BALL TYPE,FR TO 4000ML,W/MOUTHPIECE",,,2C,P01R07B02,IE481 222,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 236,"BARREL,NEBULIZER,HANDHELD,SM VOL,8LPM,7FT TUBING",,,2C,P01R05B04,IE481 236,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 437,"MASK,AEROSOL,ADULT,UNDER-THE-CHIN,HI-GRADE RESIN,W/O TUBING",,,2C,P01R06B01,IE481 437,Notes,Ref 001206,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 439,"SOLUTION,PATIENT PREP,10% PVI,4OZ,BOTTLE,SCRUB CARE",,,2C,P03R03B01,IE481 439,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 445,"MOUTHWASH,4OZ,MINT,NON-ALCOHOL,BOTTLE",,,2C,P04R06B04,IE481 445,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 446,"BAG,URINE COLLECTION,DRAINABLE,2000ML,STER,LTX-FREE",,,2C,P05R01B03,IE481 446,Notes,Urine Meter 2500ml,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 468,"DIAPER,ADULT,HOOK TABBED BRIEF,LG 45-58IN,INCONT,HI ABSORB",,,2C,P08R02B01,IE481 468,Notes,Blue Diaper,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 571,"BANDAGE,GAUZE,4.5IN X 4.1YD,STER,6-PLY,ROLLED,WHT,CONFORMING",,,2C,P02R01B04,IE481 571,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 588,"CATH,URETHRAL,ROBINSON-NELATON,14FR,RND TIP,LTX-FREE,40.6CM",,,2C,P05R03B08,IE481 588,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 594,"TRAY,TRACH CARE,3 COMPARTMENT TRAY,SPLIT TRACH DRSNG,NO GLV",,,2C,P01R04B06,IE481 594,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1481,"ELECTRODE,EKG,DIAPH,FOAM,WET GEL,SQ,5.1 X 5.5MM,W/O ABRADER",,,2C,P07R02B02,IE481 1481,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1558,"VALVE,ENTERAL FEEDING,LOPEZ,4-WAY ROTATING,1 MEDICATION PORT",,,2C,P01R02B01,IE481 1558,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1583,"GEL/PASTE,TRANSMISSION,U/S,250ML,BOTTLE,VISCOUS,BLU",,,2C,P04R05B07,IE481 1583,Notes,Aquasonic Unltrasound Gel Ref # 03-08,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1584,"STICK,BITE,FOAM/WOOD,TONGUE DEPRESSOR,INDIVIDUALLY PACKAGED",,,2C,P02R06B02,IE481 1584,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1603,"BANDAGE,TUBULAR,NYLON,SZ 6,25YD,LG HEAD/SHOULDER/THIGH,ROLL",,,2C,P06R06B01,IE481 1603,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1608,"STRAINER,URINE,KIDNEY STONE FIL,PLSTC FINE MESH,DISP",,,2C,P05R04B05,IE481 1608,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1610,"SUPPORT,ATHLETIC,LG,W SZ 39-44IN,WHT",,,2C,P04R04B08,IE481 1610,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1614,"PIN,SAFETY,SMALL",,,2C,P01R01B05,IE481 1614,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1622,"UNDERPAD,BED,24 X 36IN,DISP,SPUN-BOND BACKING,ABSORB POLYMER",,,2C,P08R03B01,IE481 1622,Notes,Chucks; Chux,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1624,"NUT AND NIPPLE,OXYGEN,BARBED HOSE ADAPTER,GRN,DISP",,,2C,P01R04B03,IE481 1624,Notes,X-mas Tree; Christmas Tree; xmas,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1625,"MASK,OXYGEN,MULTI-VENT,ADULT,UNDER THE CHIN DESIGN,CLR,GRN",,,2C,P01R06B02,IE481 1625,Notes,Venti Mask,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1626,"CONNECTOR,OXYGEN TUBING,SUPPLY,DIA 5 TO 7MM,W/O PORT,DISP",,,2C,P01R04B01,IE481 1626,Notes,White Cross,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1627,"MASK,OXYGEN,NON-REBREATHER,ADULT,TUBING L 7FT,LTX-FREE,DISP",,,2C,P01R05B05,IE481 1627,Notes,Non-Rebreather Mask,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1776,"PACK,THERAPY,COLD,RECT,6.5 X 13IN,W/CVR,INSUL,REUSABLE",,,2C,P07R02B06,IE481 1776,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1787,"BLADE,SURG CLIPPER,FOR USE W/CLIPPER BODY 9661,PIVOTING HEAD",,,2C,P04R03B06,IE481 1787,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1825,"REMOVER,SKIN STAPLE,SS,STD JAW,TWEEZER STYLE,LTX-FREE,STER",,,2C,P02R03B03,IE481 1825,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1826,"NEEDLE,HYPO,25GA X 1 1/2IN,REG BEVEL,STER,PLSTC HUB,BLU HUB",,,2C,P03R04B08,IE481 1826,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1827,"NEEDLE,HYPO,27GA X 1 1/2IN,TRIBEVELED,STER,POLYPRO HUB,SS",,,2C,P03R05B07,IE481 1827,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1906,"DRESSING,PETROLATUM,KNITTED CELLULOSE ACETATE GAUZE,3 X 16IN",,,2C,P02R04B02,IE481 1906,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1913,"GLOVE,SURG,POLYMER,SZ 6.5,POWDER-FREE,LTX,BIOGEL,MICRO-ROUGH",,,2C,P04R08B05,IE481 1913,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1914,"GLOVE,SURG,NAT RUBBER,SZ 7.5,POWDER-FREE,LTX,BIOGEL,NAT,STER",,,2C,P04R08B03,IE481 1914,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1915,"GLOVE,SURG,NAT RUBBER,SZ 8,POWDER-FREE,LTX,BIOGEL,NAT,STER",,,2C,P04R08B02,IE481 1915,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1919,"ADAPTER,URO CATH,PLUG AND DRAIN TUBE PROTECTOR,WHT,PLSTC",,,2C,P05R04B01,IE481 1919,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1952,"SYSTEM,SWAB COLLECTION,TUBE,LIQ STUARTS MED,2 SWAB,PLSTC",,,2C,P04R01B02,IE481 1952,Notes,Bacterial Swab (MRSA \ Etc); BBL CultureSwab,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1954,"SCALPEL,SURG,SZ #10,BARD PARKER,SS BLADE,PLSTC HANDLE,DISP",,,2C,P03R03B08,IE481 1954,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1956,"SCALPEL,SURG,SZ #15,BARD PARKER,SS BLADE,PLSTC HANDLE,DISP",,,2C,P04R03B01,IE481 1956,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1972,"TP,SUC,YANK,RGIDPLSTC,BULB,CLR,LTX FR",,,2C,P01R05B06,IE481 1972,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1984,"DRESSING,GEN USE,TELFA,3 X 8IN,STER,NON-ADH,NON-ADHERENT",,,2C,P02R03B07,IE481 1984,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1988,"PACKING,WOUND,STRIP,1/2IN X 5YD,IODOFORM,GAUZE,STER,LTX-FREE",,,2C,P02R03B05,IE481 1988,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1994,"SYRINGE,W/O NEEDLE,CAPACITY 10ML,LL TIP,DISP,STER,PLSTC",,,2C,P03R07B04,IE481 1994,Notes,Ref 302995,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1996,"BANDAGE,COMPRESSION,ELASTIC,3IN X 15FT,NON-STER,LTX,BEIGE",,,2C,P02R02B04,IE481 1996,Notes,Tensoplant; Ref 02117-00,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 1998,"CUP,DENTURE,PLSTC,W/LID AND LABEL,AQUA",,,2C,P04R07B04,IE481 1998,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 2014,"CONNECTOR,SUCTION,5 IN 1,FITS 5 TO 11MM,PLSTC,LTX-FREE,STER",,,2C,P01R01B03,IE481 2014,Notes,Busse; Ref 501,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 2016,"STETHOSCOPE,MANUAL,DUAL HEAD,L 22IN,BELL CHEST PIECE,BLK",,,2C,P06R05B04,IE481 2016,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 2032,"STRIP,SKIN CLOSURE,1/2 X 4IN,REINFORCED FABRIC,MEDI-STRIP",,,2C,P02R03B04,IE481 2032,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 2041,"DRESSING,TRANSPARENT,IV,CENTRAL,4 X 4.75IN,STER,DISP",,,2C,P02R04B06,IE481 2041,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 2053,"BAG,URINE COLLECTION,LEG,909ML,LTX-FREE,LG,BOTTOM",,,2C,P05R04B07,IE481 2053,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 2084,"BEDPAN,PONTOON,PLSTC,CONTOURED,1200ML,AUTOCLAVABLE,BLU",,,2C,P05R07B01,IE481 2084,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 2087,"STOCKING,COMPRESSION,BK,LG REG,19MM HG,WHT,ANTI-EMBOLISM",,,2C,P07R04B01,IE481 2087,Notes,Pantyhose; Ref 531,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 2187,"CONTAINER,EVACUATED,BOTTLE,GLASS,1000ML,W/SOLID STOPPER,STER",,,2C,P06R06B04,IE481 2187,Notes,PARACENTESIS Bottle,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 2234,"RESTRAINT,LIMB,MOD CINCH,10 X 3IN CUFF,FOAM,HOOK AND LOOP",,,2C,P06R04B02,IE481 2234,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 2238,"MASK,OXYGEN,TRACH,ADULT,FITS TUBING ID 22MM,W/O TUBING,CLR",,,2C,P01R04B04,IE481 2238,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 2242,"MASK,OXYGEN,ADULT,ELONGATED,TUBING L 7FT",,,2C,P01R05B03,IE481 2242,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 2273,"SUTURE,SILK,BLK BRD,SZ 2-0,L 18IN,W/PS,STER",,,2C,P03R02B01,IE481 2273,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 2314,"BEDPAN,FRACTURE,PLSTC,STD SHAPE,LG,REUSABLE",,,2C,P04R08B06,IE481 2314,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 2518,"DRESSING,PETROLATUM,GAUZE,NON-ADHERENT,3 X 18IN,MESH,STER",,,2C,P02R04B04,IE481 2518,Notes,Vaseline Gauze Strip; Ref 8884414600,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 2629,"CATH,URETHRAL,FOLEY,14FR,2-WAY,5CC BLN,COUDE TIP,LTX,1 EYE",,,2C,P05R03B01,IE481 2629,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 2630,"CATH,URETHRAL,FOLEY,16FR,2-WAY,5CC BLN,COUDE TIP,LTX,1 EYE",,,2C,P05R03B04,IE481 2630,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 2645,"CATH,URETHRAL,16FR,HOLLOW RND TIP,RUBBER,LTX,RED,DISP,STER",,,2C,P05R03B07,IE481 2645,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 2800,"GLOVE,SURG,NAT RUBBER,SZ 8.5,POWDER-FREE,LTX,BIOGEL,NAT,STER",,,2C,P04R08B01,IE481 2800,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 3413,"BAG,FECAL COLLECTION,LG,CUT-TO-FIT SOFTFLEX SKIN BARRIER,CLR",,,2C,P05R02B03,IE481 3413,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
IE481 3427,"BAG, PLASTIC, 12X16IN, GA 002",,,2C,P06R05B01,IE481 3427,Notes,,USD,00.00,,1/1/2027,,,,,1/1/2026,3/6/2026
